name,address,decimal,symbol,chain_id,coinmarketcap_id,coingecko_id,market_cap,type
Maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18,MKR,1,1518,maker,626145631.16037,t
Gemini dollar,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2,GUSD,1,3306,gemini-dollar,574273511.84067,t
Paxos Gold,0x45804880de22913dafe09f4980848ece6ecbaf78,18,PAXG,1,4705,pax-gold,519219997.909,t
HuobiToken,0x6f259637dcd74c767781e37bc6133cd6a68aa161,18,HT,1,2502,huobi-token,487327668.17285,t
Loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,18,LRC,1,1934,loopring,394664754.99122,t
Convex,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,18,CVX,1,9903,convex-finance,360528842.10625,t
FTX Token,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,18,FTT,1,4195,ftx-token,352857888.61623,t
Mask Network,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,18,MASK,1,8536,mask-network,352035750.04592,t
Enjin Coin,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18,ENJ,1,2130,enjincoin,342368506.77597,t
dYdX,0x92d6c1e31e14520e676a687f0a93788b716beff5,18,DYDX,1,11156,dydx,334495152.22153,t
Basic Attention Token,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18,BAT,1,1697,basic-attention-token,332361271.21149,t
1INCH Token,0x111111111117dc0aa78b770fa6a738034120c302,18,1INCH,1,8104,1inch,327460974.134,t
SingularityNET,0x5b7533812759b45c2b44c19e320ba2cd2681b542,8,AGIX,1,2424,singularitynet,326976852.26609,t
Baby Doge Coin,0xac57de9c1a09fec648e93eb98875b212db0d460b,9,BABYDOGE,1,10407,baby-doge-coin,313482114.96496,t
FLOKI,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,9,FLOKI,1,10804,floki,305958388.09331,t
